crse_id,crse_attr,crse_attr_lov_descr,crse_attr_value,crse_attr_value_lov_descr
000041,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
000041,REG,Registration Considerations,C,Crosslisted in another department
000041,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
000041,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
000041,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
000081,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
000081,REG,Registration Considerations,C,Crosslisted in another department
000081,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
000081,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
000081,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
000082,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
000082,REG,Registration Considerations,C,Crosslisted in another department
000082,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
000082,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
000082,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
000170,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
000171,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
000175,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
000608,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
000608,REG,Registration Considerations,C,Crosslisted in another department
000608,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
000608,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
000608,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
000610,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
000610,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
000610,REG,Registration Considerations,C,Crosslisted in another department
000610,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
000610,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
000610,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
000661,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
000661,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
000661,REG,Registration Considerations,C,Crosslisted in another department
000661,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
000661,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
000662,REG,Registration Considerations,C,Crosslisted in another department
000685,REG,Registration Considerations,C,Crosslisted in another department
002012,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
002012,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
002012,REG,Registration Considerations,C,Crosslisted in another department
002012,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
002012,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
003931,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
003931,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
003931,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
003931,REG,Registration Considerations,C,Crosslisted in another department
003931,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
003931,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
003931,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005211,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
005211,REG,Registration Considerations,C,Crosslisted in another department
005211,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
005211,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005212,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
005212,REG,Registration Considerations,C,Crosslisted in another department
005212,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005263,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
005263,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
005263,REG,Registration Considerations,C,Crosslisted in another department
005263,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
005263,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005319,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
005319,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
005319,REG,Registration Considerations,C,Crosslisted in another department
005319,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
005319,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005319,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
005330,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
005330,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
005330,REG,Registration Considerations,C,Crosslisted in another department
005330,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
005330,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005338,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
005338,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
005338,REG,Registration Considerations,C,Crosslisted in another department
005338,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
005338,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005616,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
005616,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
005616,REG,Registration Considerations,C,Crosslisted in another department
005616,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
005616,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
008618,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
008618,REG,Registration Considerations,C,Crosslisted in another department
008618,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
008860,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
008860,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
008860,REG,Registration Considerations,C,Crosslisted in another department
008860,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
009281,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
009281,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
009281,REG,Registration Considerations,C,Crosslisted in another department
009281,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
009281,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
009281,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
009813,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
009813,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
009813,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
009813,REG,Registration Considerations,C,Crosslisted in another department
009813,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
009813,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
012561,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
012561,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
012561,REG,Registration Considerations,C,Crosslisted in another department
012561,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
012561,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
012954,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
012954,REG,Registration Considerations,C,Crosslisted in another department
012954,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
012954,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
012954,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
012954,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
014183,REG,Registration Considerations,C,Crosslisted in another department
014183,REG,Registration Considerations,L,Satisfactory/Unsatisfactory Only
014183,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
014299,REG,Registration Considerations,C,Crosslisted in another department
014812,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
014812,REG,Registration Considerations,C,Crosslisted in another department
014812,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
014812,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
014812,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
014940,REG,Registration Considerations,C,Crosslisted in another department
014940,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
014940,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
015253,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
015253,REG,Registration Considerations,C,Crosslisted in another department
015253,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
015253,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
015253,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
015756,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
